"","days","hours","months","weeks","years"
"days",0.0188679245283019,0.0188679245283019,0,0,0
"months",0.0188679245283019,0,0.113207547169811,0.0377358490566038,0
"none",0.0188679245283019,0,0.169811320754717,0.0188679245283019,0.0754716981132075
"single sample",0,0,0.0188679245283019,0.0188679245283019,0
"weeks",0,0,0.0188679245283019,0,0
"years",0.0566037735849057,0.0188679245283019,0.226415094339623,0.0377358490566038,0.113207547169811
