"","<1 sq m",">1000 sq m","10-100 sq m","100-1000 sq m","Regional/Continental"
"<1 sq m",0.0188679245283019,0.188679245283019,0,0,0.113207547169811
">1000 sq m",0,0.0566037735849057,0,0,0.0566037735849057
"1-10 sq m",0,0.0188679245283019,0.0377358490566038,0.0188679245283019,0.132075471698113
"10-100 sq m",0,0.0377358490566038,0.0188679245283019,0,0.0188679245283019
"100-1000 sq m",0,0.113207547169811,0,0,0.0188679245283019
"Regional/Continental",0,0,0,0,0.0377358490566038
"undefined",0,0.0754716981132075,0,0,0.0377358490566038
