"","days","hours","months","weeks","years"
"days",0.0188679245283019,0.0188679245283019,0,0,0
"hours",0.0188679245283019,0,0.0188679245283019,0,0
"months",0.0188679245283019,0,0.339622641509434,0.0377358490566038,0.0377358490566038
"none",0.0377358490566038,0,0.113207547169811,0.0188679245283019,0.0188679245283019
"single sample",0,0.0188679245283019,0.0377358490566038,0.0188679245283019,0.0377358490566038
"weeks",0,0,0.0188679245283019,0.0188679245283019,0
"years",0.0188679245283019,0,0.0188679245283019,0.0188679245283019,0.0943396226415094
