"","days","hours","months","weeks","years"
"days",0.0188679245283019,0,0,0,0
"months",0.0188679245283019,0,0.188679245283019,0.0377358490566038,0.0377358490566038
"none",0.0377358490566038,0,0.0943396226415094,0.0188679245283019,0.0377358490566038
"single sample",0,0,0.0188679245283019,0.0377358490566038,0
"weeks",0,0.0188679245283019,0.0377358490566038,0,0
"years",0.0377358490566038,0.0188679245283019,0.207547169811321,0.0188679245283019,0.113207547169811
