"","days","hours","months","weeks","years"
"days",0.0204081632653061,0.0204081632653061,0,0,0
"hours",0,0,0.0204081632653061,0,0
"months",0.0204081632653061,0,0.326530612244898,0.0408163265306122,0.0408163265306122
"none",0.0408163265306122,0,0.102040816326531,0.0204081632653061,0.0204081632653061
"single sample",0,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.0408163265306122
"weeks",0,0,0.0204081632653061,0.0204081632653061,0
"years",0.0204081632653061,0,0.0204081632653061,0.0204081632653061,0.102040816326531
