"","<1 sq m",">1000 sq m","10-100 sq m","100-1000 sq m","Regional/Continental"
"<1 sq m",0.0204081632653061,0.183673469387755,0,0,0.122448979591837
">1000 sq m",0,0.0612244897959184,0,0,0.0408163265306122
"1-10 sq m",0,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.142857142857143
"10-100 sq m",0,0.0408163265306122,0.0204081632653061,0,0.0204081632653061
"100-1000 sq m",0,0.122448979591837,0,0,0.0204081632653061
"Regional/Continental",0,0,0,0,0.0408163265306122
"undefined",0,0.0612244897959184,0,0,0.0204081632653061
