"","<1 sq m",">1000 sq m","10-100 sq m","100-1000 sq m","Regional/Continental"
"<1 sq m",0,0.0212765957446809,0,0,0
">1000 sq m",0,0.361702127659574,0,0,0.170212765957447
"1-10 sq m",0.0212765957446809,0.0212765957446809,0,0,0.0425531914893617
"10-100 sq m",0,0.0212765957446809,0.0638297872340425,0.0212765957446809,0
"100-1000 sq m",0,0.0425531914893617,0,0,0.0212765957446809
"Regional/Continental",0,0.0212765957446809,0,0,0.148936170212766
"undefined",0,0,0,0,0.0212765957446809
