"","days","hours","months","weeks","years"
"days",0.0204081632653061,0,0,0,0
"months",0.0204081632653061,0,0.142857142857143,0.0408163265306122,0.0408163265306122
"none",0.0408163265306122,0,0.102040816326531,0.0204081632653061,0.0408163265306122
"single sample",0,0,0.0204081632653061,0.0408163265306122,0
"weeks",0,0.0204081632653061,0.0408163265306122,0,0
"years",0.0204081632653061,0.0204081632653061,0.224489795918367,0.0204081632653061,0.122448979591837
